"nursery","n_healthy","n_pale","n_bleached","n_diseased","n_dead","n_tot","p_healthy","p_diseased","p_pale","p_bleached","p_dead"
"Cades",222,33,42,4,68,369,60.1626016260163,1.0840108401084,8.94308943089431,11.3821138211382,18.4281842818428
"DN",46,29,5,0,12,92,50,0,31.5217391304348,5.43478260869565,13.0434782608696
"TPB",485,64,7,6,40,602,80.5647840531561,0.996677740863787,10.6312292358804,1.16279069767442,6.64451827242525
"York",668,152,21,0,26,867,77.0472895040369,0,17.5317185697809,2.42214532871972,2.99884659746251
"Total",1421,278,75,10,146,1930,73.6269430051813,0.518134715025907,14.4041450777202,3.8860103626943,7.56476683937824
