lon,lat,time,u,v,wind_speed_ms,wind_speed_kn,time_converted,date
-61.8125,16.9375,1732143600,-0.11999999731779099,3.2699999809265137,3.2722010749059525,6.360635337445187,2024-11-20T23:00:00Z,2024-11-20
-61.8125,16.9375,1732147200,-0.3100000023841858,2.930000066757202,2.946353745339382,5.727240264340504,2024-11-21T00:00:00Z,2024-11-21
-61.8125,16.9375,1732150800,-0.6800000071525574,2.619999885559082,2.7068061271648327,5.261598022228088,2024-11-21T01:00:00Z,2024-11-21
-61.8125,16.9375,1732154400,-0.1599999964237213,1.9500000476837158,1.9565531387677884,3.8032262532623777,2024-11-21T02:00:00Z,2024-11-21
-61.8125,16.9375,1732158000,-0.8999999761581421,-0.3400000035762787,0.9620810566249217,1.870131641109788,2024-11-21T03:00:00Z,2024-11-21
-61.8125,16.9375,1732161600,-0.699999988079071,-0.7400000095367432,1.0186265249958297,1.9800469843478936,2024-11-21T04:00:00Z,2024-11-21
-61.8125,16.9375,1732165200,-0.8199999928474426,-0.5099999904632568,0.9656603846810369,1.8770892821583867,2024-11-21T05:00:00Z,2024-11-21
-61.8125,16.9375,1732168800,-0.7099999785423279,-0.6299999952316284,0.9492101787917984,1.8451127139426493,2024-11-21T06:00:00Z,2024-11-21
-61.8125,16.9375,1732172400,-1.059999942779541,-1.059999942779541,1.4990662951935316,2.9139450272489946,2024-11-21T07:00:00Z,2024-11-21
-61.8125,16.9375,1732176000,-1.4600000381469727,-0.4099999964237213,1.516476214273278,2.9477871243529687,2024-11-21T08:00:00Z,2024-11-21
-61.8125,16.9375,1732179600,-1.7899999618530273,0.2199999988079071,1.8034688416796445,3.50565487321056,2024-11-21T09:00:00Z,2024-11-21
-61.8125,16.9375,1732183200,-2.3299999237060547,1.0299999713897705,2.547508505487891,4.951948933307582,2024-11-21T10:00:00Z,2024-11-21
-61.8125,16.9375,1732186800,-2.130000114440918,1.7400000095367432,2.750363706986076,5.346266988187814,2024-11-21T11:00:00Z,2024-11-21
-61.8125,16.9375,1732190400,-2.0199999809265137,2.430000066757202,3.1599525704325253,6.14244220450956,2024-11-21T12:00:00Z,2024-11-21
-61.8125,16.9375,1732194000,-1.8799999952316284,2.9600000381469727,3.506565300675435,6.816201894064937,2024-11-21T13:00:00Z,2024-11-21
-61.8125,16.9375,1732197600,-1.7100000381469727,2.9700000286102295,3.427097941467009,6.661730062541231,2024-11-21T14:00:00Z,2024-11-21
-61.8125,16.9375,1732201200,-1.850000023841858,1.090000033378601,2.147230812227746,4.173873142040781,2024-11-21T15:00:00Z,2024-11-21
-61.8125,16.9375,1732204800,-2.0899999141693115,1.340000033378601,2.4826799493052625,4.825932592657542,2024-11-21T16:00:00Z,2024-11-21
-61.8125,16.9375,1732208400,-2.130000114440918,1.9500000476837158,2.887802048874683,5.613425134684564,2024-11-21T17:00:00Z,2024-11-21
