date,wind_speed_ms_mean,wind_speed_kn_mean
2024-11-20,3.2722010749059525,6.360635337445187
2024-11-21,2.5432130137253854,4.943599184599953
2024-11-22,4.101277018626985,7.972226319887879
2024-11-23,6.081916062882685,11.822271719673878
2024-11-24,6.89922148248532,13.410982686514265
2024-11-25,9.235974610330615,17.953256886545063
2024-11-26,8.41759966491077,16.36246693264015
2024-11-27,7.121127599467251,13.842332672948421
2024-11-28,7.174156817750048,13.945412988615253
2024-11-29,7.292923073016745,14.176275586252869
2024-11-30,8.083586154025548,15.71319810964102
2024-12-01,7.606235696150914,14.785305195605993
2024-12-02,7.5685481563872345,14.71204664831176
2024-12-03,7.630373605612318,14.83222542953345
2024-12-04,7.743480769548345,15.052087659078854
2024-12-05,8.173746226219384,15.888454864374289
2024-12-06,8.212090853088979,15.962990683868483
2024-12-07,7.460198496804972,14.501432246029378
2024-12-08,8.202232130031902,15.943826903641211
2024-12-09,8.354119067996622,16.239070809134553
2024-12-10,8.139977262812737,15.822813402545911
2024-12-11,8.38681196478934,16.302620569636108
2024-12-12,5.9133582615379785,11.494622323107984
2024-12-13,2.626393963683447,5.105289642366432
2024-12-14,5.673624577938235,11.028618399579459
2024-12-15,6.01581535496967,11.693782519604243
2024-12-16,7.093830855723905,13.789272170590355
2024-12-17,8.061438019837256,15.670145680480452
2024-12-18,8.445936395689516,16.41754900339711
2024-12-19,10.290848940913277,20.003763805304864
2024-12-20,9.709076291683402,18.872890858825865
2024-12-21,7.465410310429837,14.511563177825934
2024-12-22,7.032715796175507,13.670474273237797
2024-12-23,7.051303228373259,13.706605267441075
2024-12-24,8.207925658306879,15.954894211643245
2024-12-25,7.82395120940825,15.208509318896134
2024-12-26,6.9563169471675685,13.521967134582207
2024-12-27,5.565758670111036,10.818944333308634
2024-12-28,5.221239270296296,10.149253743172753
2024-12-29,7.026598060673525,13.658582374259623
2024-12-30,5.707091199879662,11.093672157974083
2024-12-31,5.897868712005894,11.464513117145538
2025-01-01,6.484318804294963,12.604478264540722
2025-01-02,8.1323129049774,15.807915117211271
2025-01-03,7.058981539012971,13.721530674794975
2025-01-04,6.554157360082571,12.740233242822905
2025-01-05,6.785466366559915,13.189860941973826
2025-01-06,8.196174535611874,15.932051909303787
2025-01-07,7.690222337123345,14.948561787793842
2025-01-08,5.37280731257191,10.44387776646978
2025-01-09,4.102281813768692,7.974179480876135
2025-01-10,1.9665929343387407,3.8227420094850175
2025-01-11,5.335691740516298,10.3717310328852
2025-01-12,4.354636291167989,8.464716208223983
2025-01-13,5.156757336897818,10.023911181755453
2025-01-14,5.189817642669972,10.088175126527599
2025-01-15,6.3214898565949715,12.28796484284357
2025-01-16,6.163095172247154,11.980070919620909
2025-01-17,7.036537294813886,13.677902655151025
2025-01-18,9.18069491964404,17.84580201260087
2025-01-19,9.95563855388138,19.35216844657678
2025-01-20,10.79272319042438,20.979327046474527
2025-01-21,10.644092139342204,20.69041206413895
2025-01-22,9.541579660359153,18.547304206992536
2025-01-23,9.971851478597195,19.38368377815637
2025-01-24,9.064034470016354,17.61903276419659
2025-01-25,9.44706159138901,18.363576203805614
