"","Zone","Variable","Unit","Historical mean","Historical SD","2025 mean","2025 SD","Pct. change","Delta","CI low","CI high","p","Significance"
"1","NDNP","Ave fish weight - Acanthurids","g_fish",74.6052929896824,14.2079514787065,269.300864488171,306.972747309951,260.96750471232,194.695571498489,81.7957054914947,371.194709431692,0.0010970505857231,"**"
"2","NDNP","Ave fish weight - Herbivores","g_fish",103.451312496281,23.008067471965,219.271590388889,166.189620276279,111.956315582531,115.820277892607,47.5672063569606,215.496652912057,0.0047289220599092,"**"
"3","NDNP","Ave fish weight - Scarids","g_fish",196.796186873011,104.889918946568,175.252333370119,82.4607003247885,-10.9472921428062,-21.5438535028914,-94.5905591085615,54.4289841449169,0.414446222764492,"ns"
"4","NDNP","Ave fish weight - Total","g_fish",127.71666768094,32.7660785226567,198.219036106068,108.505208405672,55.2021671918779,70.5023684251276,26.144002115875,127.285270166161,0.00694669816590924,"**"
"5","NDNP","Benthic cover - Aggressive inverts","proportion",0.0310021972232576,0.0181750441766762,0.019837312117118,0.0105944653268428,-36.0132058567892,-0.0111648851061395,-0.0238236079323729,0.00129035140592813,0.148778617087727,"ns"
"6","NDNP","Benthic cover - CCA","proportion",0.0361415598985014,0.0254094534431979,0.0460322427963227,0.0548307870665568,27.3665080466861,0.00989068289782126,-0.00669460143438414,0.0308112285872434,0.572081696065726,"ns"
"7","NDNP","Benthic cover - Calc. macroalgae","proportion",0.0354720091651141,0.0355719159674245,0.0161584819026961,0.0206597468418172,-54.44723238686,-0.019313527262418,-0.0330266446501144,-0.00748753737472723,0.00574194154874128,"**"
"8","NDNP","Benthic cover - Fleshy macroalgae","proportion",0.159245017966445,0.0657897403192404,0.356871782549929,0.0837474457357497,124.102321759997,0.197626764583483,0.140277079586654,0.25611300572632,0.0010970505857231,"**"
"9","NDNP","Benthic cover - Live coral","proportion",0.063232791601093,0.0208639448763481,0.0299504054597299,0.0124963920774441,-52.6346936433339,-0.0332823861413631,-0.0475940023956023,-0.017593338030898,0.00574194154874128,"**"
"10","NDNP","Benthic cover - Peysonnelids","proportion",0.00886522771750132,0.00504381497538949,0.0389859906748802,0.0239832490281739,339.762992189314,0.0301207629573789,0.0175560776073318,0.0429802123334524,0.00258447894760353,"**"
"11","NDNP","Benthic cover - Turf algae","proportion",0.102054255077718,0.142295113786914,0.00450173407574006,0.00722165299958297,-95.5888815490233,-0.097552521001978,-0.179014751592465,-0.0412408992761096,0.0020976434034589,"**"
"12","NDNP","Benthic cover - Turf-sediment complex","proportion",0.563986941350369,0.144531766352184,0.487662050423584,0.117156108391232,-13.5330954195567,-0.0763248909267848,-0.144174928611151,-0.00751210481036955,0.0787915035643527,"ns"
"13","NDNP","Coral fam cover - Acroporidae","proportion",0.000361428571428571,0.000970843068542112,0,0,-100,-0.000361428571428571,-0.000951428571428571,0,0.371093369522698,"ns"
"14","NDNP","Coral fam cover - Faviidae","proportion",0.00427285714285714,0.00266450292253092,0.00365928571428571,0.00383918077167054,-14.3597459043798,-0.000613571428571429,-0.00301210666071429,0.00222250575,0.379471360411207,"ns"
"15","NDNP","Coral fam cover - Merulinidae","proportion",0.00150428571428571,0.00233754873017314,0.000476190714285714,0.00101874962265185,-68.3443969610636,-0.001028095,-0.00249144641071429,0.000231690928571428,0.12320491142034,"ns"
"16","NDNP","Coral fam cover - Milleporidae","proportion",0.0057,0.0046026781501476,0.00681428571428571,0.00530520249153561,19.5488721804511,0.00111428571428571,-0.00219613073214286,0.00457842882142857,0.833935414088552,"ns"
"17","NDNP","Coral fam cover - Montastraeidae","proportion",0.00247428571428571,0.00329117868595085,0.00134285642857143,0.00190244602143422,-45.7275115473441,-0.00113142928571429,-0.00298502453571429,0.000601683589285714,0.350528908982333,"ns"
"18","NDNP","Coral fam cover - Poritidae","proportion",0.00771071428571429,0.0056531236624416,0.00409666714285714,0.00490372821746636,-46.870458545623,-0.00361404714285714,-0.00801192905357143,0.00115576926785714,0.167253563317042,"ns"
"19","NDNP","Coral fam cover - Siderastreidae","proportion",0.00728785714285714,0.00520440963706064,0.00544952428571429,0.00333712543848678,-25.2246006076644,-0.00183833285714286,-0.00577983353571429,0.00164698648214285,0.615518503675301,"ns"
"20","NDNP","Diadema density - Adult","g_m2",0.0535721428571429,0.0845234613018158,0.00833333333333328,0.0233424890461962,-84.4446518490866,-0.0452388095238096,-0.0940476190476191,-0.00595356547619055,0.0558292946392401,"ns"
"21","NDNP","Diadema density - Juvenile","g_m2",0.0107142857142857,0.0202625321958785,0.0119047619047619,0.0248315447889497,11.1111111111113,0.00119047619047621,-0.0142866666666666,0.0154764345238096,1,"ns"
"22","NDNP","Diadema density - Total","g_m2",0.0642864285714286,0.103126432380329,0.020238095238095,0.0409181857405465,-68.518868308871,-0.0440483333333336,-0.100031869047619,0.00237999999999928,0.0796880256742914,"ns"
"23","NDNP","Fish biomass - Acanthurids","g_100m2",1714.28571428571,622.206919400171,1204.12253856228,1238.6617098005,-29.7595185838671,-510.163175723436,-1160.22384880473,298.274100218383,0.0445533169117585,"*"
"24","NDNP","Fish biomass - Herbivores","g_100m2",3114.28571428571,1196.41209960779,2088.81364092277,1469.83119564216,-32.928002355691,-1025.47207336295,-2124.07443754508,63.0216441343518,0.0900820575789648,"ns"
"25","NDNP","Fish biomass - Scarids","g_100m2",1400,897.749836664295,884.691102360488,589.104645017092,-36.8077784028223,-515.308897639512,-1120.2191669852,19.8446827311129,0.131904094905011,"ns"
"26","NDNP","Fish biomass - Total","g_100m2",7716.64285714286,3138.24486976994,4224.97986240861,2503.56073665968,-45.2484721578401,-3491.66299473425,-4909.14528371934,-2053.96539094115,0.00317265532163019,"**"
"27","NDNP","Fish density - Acanthurids > 20cm","indv/m2",0.00417148483324954,0.0066379209531367,0.00102686500007929,0.00118126424268154,-75.3837052961458,-0.00314461983317025,-0.00697149566492616,-0.000297130973601562,0.0686801607303541,"ns"
"28","NDNP","Fish density - Scarids > 20cm","indv/m2",0.00202445791036374,0.00128184021354702,0.00190194039624601,0.00116115628831777,-6.05186768717344,-0.00012251751411773,-0.00117405713767191,0.000893681496671861,1,"ns"
"29","NDNP","Height - Fleshy macroalgal height","cm",2.42142857142857,1.05624776480679,4.04059795881409,0.578340046383282,66.868352281408,1.61916938738552,1.10956920774631,2.03473902013192,0.00169627235997648,"**"
"30","NEMMA","Ave fish weight - Acanthurids","g_fish",44.3709118969978,13.8680970031292,222.670854229833,305.069059380098,401.839706938498,178.299942332835,-0.542555489296239,446.025186077787,0.280712665268496,"ns"
"31","NEMMA","Ave fish weight - Herbivores","g_fish",47.3391723691795,12.4629585596592,140.995631405127,114.55510358163,197.841352834726,93.6564590359478,11.0858977622674,176.227020309628,0.0590582290905367,"ns"
"32","NEMMA","Ave fish weight - Scarids","g_fish",49.8364599254383,15.8809009516003,104.58095875941,81.9069465844461,109.848289617434,54.7444988339717,8.6761203159223,132.800232970483,0.0590582290905367,"ns"
"33","NEMMA","Ave fish weight - Total","g_fish",52.2938042312687,20.6172068098338,116.397043320682,75.214005895754,122.582856672498,64.103239089413,13.2525601261449,126.706623285381,0.0590582290905367,"ns"
"34","NEMMA","Benthic cover - Aggressive inverts","proportion",0.0469648972168238,0.0151052163289925,0.0244757945769543,0.0289852956791882,-47.8849182529744,-0.0224891026398695,-0.0392660482472017,-0.00206369053804509,0.107327557761612,"ns"
"35","NEMMA","Benthic cover - CCA","proportion",0.109452859890355,0.0611877991752683,0.160000540127673,0.0881784395868362,46.1821466227144,0.0505476802373178,-0.019554227956807,0.126462785609401,0.362726506485098,"ns"
"36","NEMMA","Benthic cover - Calc. macroalgae","proportion",0.0744156824189729,0.0640077588515758,0.0406596336294488,0.0385124684954921,-45.3614717922922,-0.0337560487895242,-0.0674398230519886,-0.00131065227382352,0.107327557761612,"ns"
"37","NEMMA","Benthic cover - Fleshy macroalgae","proportion",0.228422079113358,0.0898672334706022,0.453596124421218,0.161362282576752,98.5780561064392,0.225174045307861,0.131599886506532,0.310213295542692,0.0142661867014469,"*"
"38","NEMMA","Benthic cover - Live coral","proportion",0.131278890809827,0.0591714761397525,0.0451698344874263,0.0345129061835949,-65.5924618125696,-0.0861090563224008,-0.124398805655871,-0.0430959770035684,0.0208625823327655,"*"
"39","NEMMA","Benthic cover - Peysonnelids","proportion",0.05902571048811,0.0304595559387697,0.0584077855573908,0.0461345239177457,-1.04687419365105,-0.000617924930719209,-0.0286821614150916,0.034524278969625,0.833634883024682,"ns"
"40","NEMMA","Benthic cover - Turf algae","proportion",0.147380146310273,0.0650840510863353,0.0453219967307908,0.0465193920162165,-69.2482346737692,-0.102058149579483,-0.157698592381505,-0.0360512507611327,0.0299739735865559,"*"
"41","NEMMA","Benthic cover - Turf-sediment complex","proportion",0.20305973375228,0.141675797876761,0.172368290469098,0.116178978970685,-15.1144900645953,-0.030691443283182,-0.130940615437201,0.0485622447278429,1,"ns"
"42","NEMMA","Coral fam cover - Acroporidae","proportion",0.03215,0.04723367110139,0.00333333375,0.00942809159433194,-89.631932348367,-0.02881666625,-0.05707499875,-0.00791625,0.0590582290905367,"ns"
"43","NEMMA","Coral fam cover - Faviidae","proportion",0.00821875,0.00465639786438279,0.00459791625,0.0037457117563305,-44.0557718631179,-0.00362083375,-0.0074199275,0.000191728781249999,0.141482121482793,"ns"
"44","NEMMA","Coral fam cover - Merulinidae","proportion",0.01947,0.0267374932044338,0.01636875125,0.0184163536026508,-15.9283448895737,-0.00310124875,-0.01604340503125,0.00984184496874997,0.528612125255688,"ns"
"45","NEMMA","Coral fam cover - Milleporidae","proportion",0.01202375,0.0171545095591301,0.0014625,0.00243977832066182,-87.8365734483834,-0.01056125,-0.02157923,-0.00297083375,0.0590582290905367,"ns"
"46","NEMMA","Coral fam cover - Montastraeidae","proportion",0.00040625,0.000759415893960615,0,0,-100,-0.00040625,-0.0009425,0,0.371093369522698,"ns"
"47","NEMMA","Coral fam cover - Poritidae","proportion",0.03524875,0.0199039137841926,0.01105208375,0.00858023094037007,-68.6454590588319,-0.02419666625,-0.0381231358125,-0.010517999125,0.0299739735865559,"*"
"48","NEMMA","Coral fam cover - Siderastreidae","proportion",0.00274875,0.001994459737086,0.00464374875,0.00650888174553693,68.9403819918145,0.00189499875,-0.00230230375,0.00728249875,0.726286148878805,"ns"
"49","NEMMA","Diadema density - Adult","g_m2",0.16755875,0.404964794040791,0.0145833333333334,0.0287814700088965,-91.2965850286342,-0.152975416666667,-0.446427083333333,0.0083333333333335,0.580712162189025,"ns"
"50","NEMMA","Diadema density - Juvenile","g_m2",0.01696375,0.0328286755911875,0.00625,0.0124003968190474,-63.1567312651978,-0.01071375,-0.0342245833333334,0.00416666666666675,0.422678074170635,"ns"
"51","NEMMA","Diadema density - Total","g_m2",0.18452375,0.435357284141838,0.0208333333333338,0.0405810965453804,-88.7096737773139,-0.163690416666666,-0.478572083333333,0.0104166666666667,0.583882420770365,"ns"
"52","NEMMA","Fish biomass - Acanthurids","g_100m2",457.8,44.6452685063042,940.507581771464,981.761759793689,105.440712488306,482.707581771464,-228.33486938482,1217.62668053639,0.787406490666269,"ns"
"53","NEMMA","Fish biomass - Herbivores","g_100m2",1817,561.6684965351,2273.91857784261,2037.67766270334,25.1468672450529,456.918577842612,-1071.76048882739,2453.89007415855,1,"ns"
"54","NEMMA","Fish biomass - Scarids","g_100m2",1359.2,586.525106027014,1333.41099607115,1339.05646811486,-1.89736638676074,-25.7890039288521,-1016.8507799746,1346.56541265534,0.589638551626567,"ns"
"55","NEMMA","Fish biomass - Total","g_100m2",2540,666.236819757059,2731.60029920516,2075.99783467432,7.54331886634488,191.60029920516,-1274.51408553216,2358.48170119011,0.589638551626567,"ns"
"56","NEMMA","Fish density - Acanthurids > 20cm","indv/m2",0.0008994708994709,0.00113556486938279,0.00592592592592592,0.0122418473192877,558.823529411765,0.00502645502645502,-0.00037037037037037,0.015026455026455,0.422678074170635,"ns"
"57","NEMMA","Fish density - Scarids > 20cm","indv/m2",0.00272875816993464,0.000814003465572461,0.00158496732026144,0.00136171023856214,-41.9161676646707,-0.0011437908496732,-0.00262138188608777,0.000590569561157797,0.280712665268496,"ns"
"58","NEMMA","Height - Fleshy macroalgal height","cm",3.5625,0.59985117201805,3.5561111101388,1.53235016671645,-0.179337259261758,-0.00638888986120004,-0.689309803741532,0.765642772833023,0.726286148878805,"ns"
